cell_id,cell_type,Target,TargetStD,Mean,StD,SM,SS,PM,PS,Done
595572609,ITL23,4.5,3.0,0.2469612464904784,0.364399999999999,7.8125e-06,0.001,4.482091542765481,0.5705503457616712,1
911084481,ITL35,4.5,3.0,0.0597843066829885,0.2285127482407524,7.376205609192459e-17,5.5063079824397305e-14,4.297955549604635,2.278800497164011,1
1001462085,ITL46,4.5,3.0,0.2296777343749803,0.3959999999999996,1.953125e-06,0.001,4.58148115553615,0.4072017223871165,1
602165685,ITL23,7.0,4.666666666666667,0.0788952858593737,0.5175906703692784,9e-05,6.561000000000002e-05,7.4871650726945855,7.1506748211773,1
701072592,ITL35,7.0,4.666666666666667,0.0317458616454436,0.4195037288274106,5.779533758707204e-17,5e-17,6.791843041124615,2.925495423870597,1
695533933,ITL46,7.0,4.666666666666667,0.0434325499288,0.593215825679092,0.0001,0.0001,6.777218278378536,4.263333836489455,1
793490645,ITL23,8.0,5.333333333333333,0.0921198706576715,0.7653618923677875,5e-17,3.109454494218657e-12,8.023477195467457,5.791253142462479,1
689331593,ITL35,8.0,5.333333333333333,0.0540290806825571,0.0357748540596707,5.032314798507812e-12,2.7569953879254117e-11,8.326112134941848,5.340992379842856,1
695564858,ITL46,8.0,5.333333333333333,0.0772087980759753,0.1382264928705034,4.30953272218323e-10,2.234061763178424e-07,8.252609474966821,4.99930163596832,1
569860121,ITL23,28.0,18.666666666666668,0.224193942208872,0.0455484601604187,0.0001,0.0001,29.294763697182542,17.6742959621317,1
902475774,ITL35,28.0,18.666666666666668,0.0968086551523951,0.0853409844082788,0.0001,4.2778587205653565e-10,28.481106796320383,19.887479683474258,1
689338841,ITL46,28.0,18.666666666666668,0.1311680265314964,0.2147227025711643,0.0001,0.0001,28.293435964999244,18.78317860234415,1
786508373,ITL23,35.0,23.33333333333333,0.132956088968562,0.4298797761721408,0.0001,0.0001,33.72245990591932,21.590711819276027,1
902534917,ITL35,35.0,23.33333333333333,0.2158759917736565,0.3171779319857585,0.0001,0.0001,35.37768055086301,22.49118767815356,1
911030210,ITL46,35.0,23.33333333333333,0.0805954283802921,0.1455999044212772,0.0001,0.0001,34.58497389494908,23.038126905144928,1
766791643,SST,35.0,23.33333333333333,0.0586334369804101,0.5809881697866796,2.53125e-05,9.112499999995e-05,36.71141618744161,15.534557532151306,1
793395012,VIP,35.0,23.33333333333333,0.0785213804404043,0.2789034242998793,0.0001,0.0001,35.62425610688013,25.3281442669996,1
737792547,SST,45.0,30.0,0.1857981362760672,0.0030656334933073,0.0009,4.5e-05,49.33126768321901,1.0186731699805918,1
700801541,VIP,45.0,30.0,0.0380472238013266,0.7684755656475427,0.0001,0.0001,43.10197740987061,27.34293778200369,1
720881002,SST,70.0,46.66666666666666,0.0790632956048433,0.000210104,1e-06,1e-06,75.75775620604443,0.2051150917531197,1
685780246,VIP,70.0,46.66666666666666,0.1551012519938754,1.3878706745440583,0.001,5.654968838045732e-09,72.53406731745885,39.25640551249852,1
868145983,SST,85.0,56.66666666666666,0.1245134646995966,0.0378738410873622,0.0009,4.05e-06,92.99224117238852,2.37958696791458,1
732115399,VIP,85.0,56.66666666666666,0.0888049689941261,1.166091726136235,4.5e-08,5.380840124995951e-05,79.36242818730737,52.86352039380073,1
720835661,PVALB,110.0,73.33333333333333,0.054909123077586,1.4252552716776807,1.965747968166212e-11,1.899635227976435e-06,104.77715914816794,123.51168371092062,1
835674226,PVALB,130.0,86.66666666666667,0.0872466016901823,0.0690626426966179,0.000125,4.55625e-05,130.37350589965274,6.39121555470023,1
689306781,SST,130.0,86.66666666666667,0.486327566299405,0.3597451666529122,0.0001,5.209530261174696e-08,130.79179777627365,84.3808093350961,1
732127116,VIP,130.0,86.66666666666667,0.1402066195912123,0.6909184022308239,5e-17,2.1811162650962632e-10,127.0458546625747,57.43984534911043,1
720841879,PVALB,140.0,93.33333333333331,0.1536336490483951,0.7742671231900197,6.895252355493164e-07,4.578688706114771e-11,142.62477609404297,97.6986597189242,1
689331391,PVALB,150.0,100.0,0.134425615624996,1.1316000000000022,0.0005,0.00045,142.62037415395312,50.423011967947936,1
695574463,PVALB,170.0,113.33333333333331,0.2710192375960089,0.2959999999999997,7.119140624996094e-07,0.1,174.53199876013767,20.025477792826447,1
